,pos,word_en,word_sp,positive,new_negetive ,objective,index,synset,meaning,negative
9654,a,successful,,0.625,0.0,0.375,0,2331262,"having succeeded or being marked by a favorable outcome; ""a successful architect""; ""a successful business venture"" ",0.0
9655,a,succinct,,0.375,0.0,0.625,0,547317,"briefly giving the gist of something; ""a short and compendious book""; ""a compact style is brief and pithy""; ""succinct comparisons""; ""a summary formulation of a wide-ranging subject"" ",0.0
9656,a,succulent,,0.0,0.375,0.625,0,1369078,"full of juice; ""lush fruits""; ""succulent roast beef""; ""succulent plants with thick fleshy leaves"" ",-0.375
9657,a,such,,0.0,0.125,0.875,0,1554230,"of so extreme a degree or extent; ""such weeping""; ""so much weeping""; ""such a help""; ""such grief""; ""never dreamed of such beauty"" ",-0.125
9658,a,suchlike,,0.5,0.0,0.5,0,1410222,"of the same kind; ""a locker that usually contained paper, ink, and suchlike equipment"" ",0.0
9659,a,suctorial,,0.125,0.0,0.875,0,2804905,adapted for sucking or clinging by suction ,0.0
9660,a,sudden,,0.0,0.5,0.5,0,1143279,"happening without warning or in a short space of time; ""a sudden storm""; ""a sudden decision""; ""a sudden cure"" ",-0.5
9661,a,sudorific,sudorífico,0.125,0.0,0.875,0,2712125,inducing perspiration ,0.0
9662,a,sudsy,,0.0,0.375,0.625,0,2754839,resembling lather or covered with lather ,-0.375
9663,a,suety,,0.0,0.5,0.5,0,992716,"like or full of suet; ""suety lamb chops"" ",-0.5
9664,a,suffering,,0.0,0.5,0.5,0,2458871,"troubled by pain or loss; ""suffering refugees"" ",-0.5
9666,a,sugar-coated,,0.0,0.125,0.875,0,2337912,"encrusted with sugar or syrup; ""candied grapefruit peel"" ",-0.125
9667,a,sugarless,,0.0,0.375,0.625,0,2338327,not containing sugar ,-0.375
9668,a,suggestive,,0.375,0.0,0.625,1,2091300,"(usually followed by `of') pointing out or revealing clearly; ""actions indicative of fear"" ",0.0
9669,a,sui_generis,,0.25,0.0,0.75,0,2215382,"constituting a class of its own; unique; ""a history book sui generis""; ""sui generis works like Mary Chestnut's Civil War diary"" ",0.0
9670,a,suicidal,,0.0,0.5,0.5,0,2060912,"dangerous to yourself or your interests; ""suicidal impulses""; ""a suicidal corporate takeover strategy""; ""a kamikaze pilot"" ",-0.5
9671,a,suitable,,0.125,0.0,0.875,0,1020885,"meant or adapted for an occasion or use; ""a tractor suitable (or fit) for heavy duty""; ""not an appropriate (or fit) time for flippancy"" ",0.0
9673,a,suited,,0.125,0.0,0.875,0,1020885,"meant or adapted for an occasion or use; ""a tractor suitable (or fit) for heavy duty""; ""not an appropriate (or fit) time for flippancy"" ",0.0
9675,a,sulfurous,,0.0,0.125,0.875,2,1250121,"characterized by oppressive heat and humidity; ""the summer was sultry and oppressive""; ""the stifling atmosphere""; ""the sulfurous atmosphere preceding a thunderstorm"" ",-0.125
9677,a,sulky,,0.0,0.125,0.875,2,275764,"depressingly dark; ""the gloomy forest""; ""the glooming interior of an old inn""; ""`gloomful' is archaic"" ",-0.125
9679,a,sulphurous,,0.0,0.125,0.875,2,1250121,"characterized by oppressive heat and humidity; ""the summer was sultry and oppressive""; ""the stifling atmosphere""; ""the sulfurous atmosphere preceding a thunderstorm"" ",-0.125
9681,a,sultry,,0.0,0.125,0.875,1,1250121,"characterized by oppressive heat and humidity; ""the summer was sultry and oppressive""; ""the stifling atmosphere""; ""the sulfurous atmosphere preceding a thunderstorm"" ",-0.125
9683,a,summa_cum_laude,,0.5,0.0,0.5,0,2587407,"with highest honor; with the highest academic distinction; ""a summa cum laude graduate"" ",0.0
9684,a,summary,,0.375,0.0,0.625,1,547317,"briefly giving the gist of something; ""a short and compendious book""; ""a compact style is brief and pithy""; ""succinct comparisons""; ""a summary formulation of a wide-ranging subject"" ",0.0
9686,a,sumptuary,,0.25,0.0,0.75,0,2004838,"regulating or controlling expenditure or personal behavior; ""sumptuary laws discouraging construction of large houses on small plots""; ""sumptuary laws forbidding gambling"" ",0.0
9687,a,sumptuous,,0.75,0.0,0.25,0,2024928,"rich and superior in quality; ""a princely sum""; ""gilded dining rooms"" ",0.0
9688,a,sunbaked,,0.0,0.25,0.75,0,2551946,"dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"" ",-0.25
9690,a,sunburned,,0.0,0.5,0.5,0,1178345,suffering from overexposure to direct sunlight ,-0.5
9691,a,sunburnt,,0.0,0.5,0.5,0,1178345,suffering from overexposure to direct sunlight ,-0.5
9692,a,sun-drenched,,0.0,0.375,0.625,0,1697878,"covered with sunlight; ""sun-drenched beaches along the Riviera"" ",-0.375
9693,a,sunk,,0.0,0.625,0.375,0,2334321,doomed to extinction ,-0.625
9694,a,sunken-eyed,,0.125,0.0,0.875,0,989416,characteristic of the bony face of a cadaver ,0.0
9695,a,sunless,,0.0,0.5,0.5,0,461971,filled or abounding with clouds ,-0.5
9696,a,sunlit,,0.0,0.25,0.75,0,272771,"lighted by sunlight; ""the sunlit slopes of the canyon""; ""violet valleys and the sunstruck ridges""- Wallace Stegner ",-0.25
9697,a,sun-loving,,0.0,0.25,0.75,0,1172394,(of plants) flourishing in strong sunlight ,-0.25
9698,a,sunny,,0.5,0.0,0.5,0,363938,"bright and pleasant; promoting a feeling of cheer; ""a cheery hello""; ""a gay sunny room""; ""a sunny smile"" ",0.0
9699,a,sunset,,0.125,0.0,0.875,1,1013843,"providing for termination; ""a program with a sunset provision"" ",0.0
9700,a,sunstruck,,0.0,0.25,0.75,0,272771,"lighted by sunlight; ""the sunlit slopes of the canyon""; ""violet valleys and the sunstruck ridges""- Wallace Stegner ",-0.25
9701,a,super,,0.125,0.0,0.875,1,528761,"including more than a specified category; ""a super experiment"" ",0.0
9703,a,superannuated,,0.5,0.0,0.5,0,1646435,"too old to be useful; ""He left the house...for the support of twelve superannuated wool carders""- Anthony Trollope ",0.0
9705,a,superb,,0.875,0.0,0.125,1,1125154,"surpassingly good; ""a superb meal"" ",0.0
9707,a,supererogatory,,0.0,0.5,0.5,0,1581305,"more than is needed, desired, or required; ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy"" ",-0.5
9708,a,superficial,,0.0,0.5,0.5,0,1873406,"concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually; ""superficial similarities""; ""a superficial mind""; ""his thinking was superficial and fuzzy""; ""superficial knowledge""; ""the superficial report didn't give the true picture""; ""only superficial differences"" ",-0.5
9709,a,superfine,,0.0,0.5,0.5,0,2233799,"of extremely fine size or texture; ""superfine sugar""; ""a superfine file"" ",-0.5
9710,a,superfluous,,0.0,0.5,0.5,1,1581305,"more than is needed, desired, or required; ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy"" ",-0.5
9712,a,superhuman,,0.125,0.0,0.875,0,1260873,"above or beyond the human or demanding more than human power or endurance; ""superhuman beings""; ""superhuman strength""; ""soldiers driven mad by superhuman misery"" ",0.0
9713,a,superior,,0.125,0.0,0.875,6,72436,"(often followed by `to') above being affected or influenced by; ""he is superior to fear""; ""an ignited firework proceeds superior to circumstances until its blazing vitality fades"" ",0.0
9718,a,superlative,,0.875,0.0,0.125,0,2343517,highest in quality ,0.0
9719,a,supernal,,0.25,0.0,0.75,0,1304374,"being or coming from on high; ""interpret the plague as a visitation from heaven, a supernal punishment for the sins of men"" ",0.0
9721,a,supernatural,,0.0,0.75,0.25,0,1574446,"not existing in nature or subject to explanation according to natural laws; not physical or material; ""supernatural forces and occurrences and beings"" ",-0.75
9722,a,supernormal,,0.0,0.125,0.875,0,1600174,"beyond the range of the normal or scientifically explainable; ""supernormal intimations"" ",-0.125
9723,a,supernumerary,,0.0,0.5,0.5,0,1581305,"more than is needed, desired, or required; ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy"" ",-0.5
9724,a,superordinate,,0.5,0.0,0.5,0,2340003,of higher rank or status or value ,0.0
9725,a,superpatriotic,,0.375,0.0,0.625,0,1740358,fanatically patriotic ,0.0
9726,a,supersaturated,,0.0,0.625,0.375,0,758150,being more concentrated than normally possible and therefore not in equilibrium ,-0.625
9727,a,supersensitised,,0.0,0.25,0.75,0,2360944,"having an allergy or peculiar or excessive susceptibility (especially to a specific factor); ""allergic children""; ""hypersensitive to pollen"" ",-0.25
9728,a,supersensitive,,0.0,0.25,0.75,0,2360944,"having an allergy or peculiar or excessive susceptibility (especially to a specific factor); ""allergic children""; ""hypersensitive to pollen"" ",-0.25
9729,a,supersensitized,,0.0,0.25,0.75,0,2360944,"having an allergy or peculiar or excessive susceptibility (especially to a specific factor); ""allergic children""; ""hypersensitive to pollen"" ",-0.25
9730,a,supersonic,,0.375,0.0,0.625,1,175300,having frequencies above those of audible sound ,0.0
9731,a,superstitious,,0.625,0.0,0.375,0,1927061,"showing ignorance of the laws of nature and faith in magic or chance; ""finally realized that the horror he felt was superstitious in origin"" ",0.0
9732,a,supervisory,,0.125,0.0,0.875,0,2904372,"of or limited to or involving supervision; ""in a supervisory capacity"" ",0.0
9733,a,supine,,0.0,0.75,0.25,1,40058,"offering no resistance; ""resistless hostages""; ""No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried""- Theodore Roosevelt ",-0.75
9734,a,supple,,0.125,0.0,0.875,1,1024228,"(used of e.g. personality traits) readily adaptable; ""a supple mind""; ""a limber imagination"" ",0.0
9737,a,suppliant,,0.125,0.0,0.875,0,714889,"humbly entreating; ""a suppliant sinner seeking forgiveness"" ",0.0
9738,a,supplicant,,0.125,0.0,0.875,0,714889,"humbly entreating; ""a suppliant sinner seeking forgiveness"" ",0.0
9739,a,supplicatory,,0.125,0.0,0.875,0,714889,"humbly entreating; ""a suppliant sinner seeking forgiveness"" ",0.0
9740,a,supported,,0.25,0.0,0.75,0,2352650,"sustained or maintained by aid (as distinct from physical support); ""a club entirely supported by membership dues""; ""well-supported allegations"" ",0.0
9741,a,supporting,,0.625,0.0,0.375,1,217428,"capable of bearing a structural load; ""a supporting wall"" ",0.0
9742,a,supportive,,0.125,0.0,0.875,0,2354537,"furnishing support or assistance; ""a supportive family network""; ""his family was supportive of his attempts to be a writer"" ",0.0
9743,a,supposable,,0.125,0.0,0.875,0,2418412,capable of being inferred on slight grounds ,0.0
9744,a,supposed,,0.125,0.0,0.875,1,1414137,"mistakenly believed; ""the supposed existence of ghosts"" ",0.0
9747,a,suppressed,,0.0,0.25,0.75,1,2166159,"manifesting or subjected to suppression; ""a suppressed press"" ",-0.25
9748,a,supranormal,,0.0,0.125,0.875,0,1600174,"beyond the range of the normal or scientifically explainable; ""supernormal intimations"" ",-0.125
9749,a,supreme,,0.125,0.0,0.875,1,792641,"greatest in status or authority or power; ""a supreme tribunal"" ",0.0
9751,a,sure,,0.125,0.0,0.875,3,2094633,"physically secure or dependable; ""a sure footing""; ""was on sure ground"" ",0.0
9755,a,sure_as_shooting,,0.25,0.0,0.75,0,336041,"absolutely certain; ""it is sure as shooting that they will come"" ",0.0
9756,a,sure-enough,,0.5,0.0,0.5,0,1116118,"(used informally especially for emphasis); ""a real honest-to-god live cowboy""; ""had us a high old time""; ""went upriver to look at a sure-enough fish wheel"" ",0.0
9757,a,sure-fire,,0.25,0.0,0.75,0,2332845,"certain to be successful; ""a sure-fire way to get rich"" ",0.0
9758,a,surefooted,,0.0,0.625,0.375,0,2302941,"not liable to stumble or fall; ""on surefooted donkeys"" ",-0.625
9759,a,sure-footed,,0.0,0.625,0.375,0,2302941,"not liable to stumble or fall; ""on surefooted donkeys"" ",-0.625
9760,a,sure-handed,,0.625,0.0,0.375,0,2227772,"proficient and confident in performance; ""promising playwrights...sure-handed enough to turn out top-drawer scripts"" ",0.0
9761,a,surgical,,0.125,0.0,0.875,1,1169194,"relating to or requiring or amenable to treatment by surgery especially as opposed to medicine; ""a surgical appendix""; ""a surgical procedure""; ""operative dentistry"" ",0.0
9763,a,surly,,0.0,0.75,0.25,0,1139067,"inclined to anger or bad feelings with overtones of menace; ""a surly waiter""; ""an ugly frame of mind"" ",-0.75
9764,a,surmisable,,0.125,0.0,0.875,0,2418412,capable of being inferred on slight grounds ,0.0
9765,a,surmountable,,0.5,0.0,0.5,0,2356820,"capable of being surmounted or overcome; ""situations of measurable and surmountable danger"" ",0.0
9767,a,surpassing,,0.75,0.0,0.25,0,2344793,exceeding or surpassing usual limits especially in excellence ,0.0
9768,a,surpliced,,0.0,0.5,0.5,0,456855,wearing a surplice ,-0.5
9769,a,surplus,,0.0,0.5,0.5,0,1581305,"more than is needed, desired, or required; ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy"" ",-0.5
9770,a,surprising,,0.0,0.625,0.375,0,2359464,"causing surprise or wonder or amazement; ""the report shows a surprising lack of hard factual data""; ""leaped up with surprising agility""; ""she earned a surprising amount of money"" ",-0.625
9771,a,surreptitious,,0.625,0.0,0.375,0,2088974,"marked by quiet and caution and secrecy; taking pains to avoid being observed; ""a furtive manner""; ""a sneak attack""; ""stealthy footsteps""; ""a surreptitious glance at his watch"" ",0.0
9772,a,susceptible,,0.5,0.0,0.5,0,2360448,"(often followed by `of' or `to') yielding readily to or capable of; ""susceptible to colds""; ""susceptible of proof"" ",0.0
9773,a,suspect,,0.0,0.5,0.5,0,1917594,"not as expected; ""there was something fishy about the accident""; ""up to some funny business""; ""some definitely queer goings-on""; ""a shady deal""; ""her motives were suspect""; ""suspicious behavior"" ",-0.5
9774,a,suspected,,0.25,0.0,0.75,0,2370212,"believed likely; ""a suspected thief""; ""a suspected infection"" ",0.0
9775,a,suspenseful,,0.0,0.5,0.5,0,2405805,(of a situation) characterized by or causing suspense ,-0.5
9776,a,suspensive,,0.0,0.5,0.5,0,2405805,(of a situation) characterized by or causing suspense ,-0.5
9777,a,suspicious,,0.0,0.5,0.5,1,1917594,"not as expected; ""there was something fishy about the accident""; ""up to some funny business""; ""some definitely queer goings-on""; ""a shady deal""; ""her motives were suspect""; ""suspicious behavior"" ",-0.5
9779,a,sustainable,,0.625,0.0,0.375,0,2806261,capable of being sustained ,0.0
9780,a,sustained,,0.0,0.375,0.625,0,596639,"maintained at length without interruption or weakening; ""sustained flight"" ",-0.375
9781,a,susurrant,,0.0,0.5,0.5,0,1456038,"making a low continuous indistinct sound; ""like murmuring waves""; ""susurrant voices"" ",-0.5
9782,a,svelte,,0.25,0.0,0.75,1,1140290, moving and bending with ease ,0.0
9785,a,swagger,,0.125,0.0,0.875,0,972354,"(British informal) very chic; ""groovy clothes"" ",0.0
9786,a,swank,,0.5,0.0,0.5,0,973434,"imposingly fashionable and elegant; ""a swank apartment"" ",0.0
9787,a,swanky,,0.5,0.0,0.5,0,973434,"imposingly fashionable and elegant; ""a swank apartment"" ",0.0
9788,a,swayback,,0.0,0.5,0.5,0,1020117,having abnormal sagging of the spine (especially in horses) ,-0.5
9789,a,swaybacked,,0.0,0.5,0.5,0,1020117,having abnormal sagging of the spine (especially in horses) ,-0.5
9790,a,sweet,,0.125,0.0,0.875,5,1052611,"having a natural fragrance; ""odoriferous spices""; ""the odorous air of the orchard""; ""the perfumed air of June""; ""scented flowers"" ",0.0
9796,a,sweet-breathed,,0.0,0.125,0.875,0,267774,having breath or breath as specified ,-0.125
9797,a,sweet-faced,,0.625,0.0,0.375,0,236200,"having a pleasing face or one showing a sweet disposition; ""a sweet-faced child"" ",0.0
9798,a,sweetheart,,0.375,0.0,0.625,0,1864279,"privileged treatment of a favored person or corporation (sometimes unethically); ""another sweetheart deal based on political influence"" ",0.0
9799,a,sweetish,,0.125,0.0,0.875,0,2368718,somewhat sweet ,0.0
9800,a,sweet-scented,,0.125,0.0,0.875,0,1052611,"having a natural fragrance; ""odoriferous spices""; ""the odorous air of the orchard""; ""the perfumed air of June""; ""scented flowers"" ",0.0
9801,a,sweet-smelling,,0.125,0.0,0.875,0,1052611,"having a natural fragrance; ""odoriferous spices""; ""the odorous air of the orchard""; ""the perfumed air of June""; ""scented flowers"" ",0.0
9802,a,swell,,0.875,0.0,0.125,0,1123879,"very good; ""he did a bully job""; ""a neat sports car""; ""had a great time at the party""; ""you look simply smashing"" ",0.0
9803,a,swelled,,0.0,0.5,0.5,0,1890187,"feeling self-importance; ""too big for his britches""; ""had a swelled head""; ""he was swelled with pride"" ",-0.5
9804,a,sweltering,,0.0,0.625,0.375,0,1250393,"excessively hot and humid or marked by sweating and faintness; ""a sweltering room""; ""sweltering athletes"" ",-0.625
9805,a,sweltry,,0.0,0.625,0.375,0,1250393,"excessively hot and humid or marked by sweating and faintness; ""a sweltering room""; ""sweltering athletes"" ",-0.625
9806,a,swept,en_flecha,0.375,0.0,0.625,0,2370752,"possessing sweep; ""the sleek swept wings of the plane"" ",0.0
9807,a,swimming,,0.0,0.375,0.625,0,2473371,"filled or brimming with tears; ""swimming eyes""; ""sorrow made the eyes of many grow liquid"" ",-0.375
9808,a,swingeing,,0.0,0.875,0.125,0,1129371,"severe; punishingly bad; ""swingeing taxation""; ""swingeing damages awarded by the judge"" ",-0.875
9809,a,swinish,,0.0,0.125,0.875,1,11327,"resembling swine; coarsely gluttonous or greedy; ""piggish table manners""; ""the piggy fat-cheeked little boy and his porcine pot-bellied father""; ""swinish slavering over food"" ",-0.125
9810,a,swish,,0.375,0.0,0.625,0,975778,"elegant and fashionable; ""classy clothes""; ""a classy dame""; ""a posh restaurant""; ""a swish pastry shop on the Rue du Bac""- Julia Child ",0.0
9811,a,swishy,,0.125,0.0,0.875,0,1921868,"resembling a sustained `sh' or soft whistle; ""swishing windshield wipers""; ""a swishy skirt"" ",0.0
9812,a,swollen,,0.0,0.75,0.25,0,1891773,"characteristic of false pride; having an exaggerated sense of self-importance; ""a conceited fool""; ""an attitude of self-conceited arrogance""; ""an egotistical disregard of others""; ""so swollen by victory that he was unfit for normal duty""; ""growing ever more swollen-headed and arbitrary""; ""vain about her clothes"" ",-0.75
9813,a,swollen-headed,,0.0,0.75,0.25,0,1891773,"characteristic of false pride; having an exaggerated sense of self-importance; ""a conceited fool""; ""an attitude of self-conceited arrogance""; ""an egotistical disregard of others""; ""so swollen by victory that he was unfit for normal duty""; ""growing ever more swollen-headed and arbitrary""; ""vain about her clothes"" ",-0.75
9814,a,sworn,,0.0,0.25,0.75,1,2371343,"bound by or stated on oath; ""now my sworn friend and then mine enemy""- Shakespeare ",-0.25
9815,a,sybaritic,,0.625,0.0,0.375,0,1298239,"displaying luxury and furnishing gratification to the senses; ""an epicurean banquet""; ""enjoyed a luxurious suite with a crystal chandelier and thick oriental rugs""; ""Lucullus spent the remainder of his days in voluptuous magnificence""; ""a chinchilla robe of sybaritic lavishness"" ",0.0
9816,a,syllabled,,0.0,0.125,0.875,0,2289659,pronounced in syllables ,-0.125
9817,a,sylphlike,,0.25,0.0,0.75,0,1140290, moving and bending with ease ,0.0
9818,a,symbiotic,,0.0,0.5,0.5,0,727268,used of organisms (especially of different species) living together but not necessarily in a relation beneficial to each ,-0.5
9819,a,symmetrical,,0.125,0.0,0.875,1,894029,exhibiting equivalence or correspondence among constituents of an entity or between different entities ,0.0
9820,a,sympathetic,,0.625,0.0,0.375,2,1372948,"showing or motivated by sympathy and understanding and generosity; ""was charitable in his opinions of others""; ""kindly criticism""; ""a kindly act""; ""sympathetic words""; ""a large-hearted mentor"" ",0.0
9821,a,symphonic,,0.25,0.0,0.75,1,1163941,"harmonious in sound; ""the symphonic hum of a million insects"" ",0.0
9822,a,symphonious,,0.25,0.0,0.75,0,1163941,"harmonious in sound; ""the symphonic hum of a million insects"" ",0.0
9823,a,synaesthetic,,0.0,0.125,0.875,0,2808126,"relating to or experiencing synesthesia; involving more than one sense; ""synesthetic response to music""; ""synesthetic metaphor"" ",-0.125
9824,a,syncategorematic,,0.0,0.375,0.625,0,2593269,"of a term that cannot stand as the subject or (especially) the predicate of a proposition but must be used in conjunction with other terms; ""`or' is a syncategorematic term"" ",-0.375
9825,a,syncopated,,0.0,0.25,0.75,0,2020810,stressing a normally weak beat ,-0.25
9826,a,synergetic,,0.25,0.0,0.75,0,620341,"working together; used especially of groups, as subsidiaries of a corporation, cooperating for an enhanced effect; ""a synergistic effect"" ",0.0
9827,a,synergistic,,0.25,0.0,0.75,2,620341,"working together; used especially of groups, as subsidiaries of a corporation, cooperating for an enhanced effect; ""a synergistic effect"" ",0.0
9828,a,synesthetic,,0.0,0.125,0.875,0,2808126,"relating to or experiencing synesthesia; involving more than one sense; ""synesthetic response to music""; ""synesthetic metaphor"" ",-0.125
9829,a,synthetic,,0.0,0.125,0.875,4,1572458,"artificial as if portrayed in a film; ""a novel with flat celluloid characters"" ",-0.125
9831,a,syrupy,,0.25,0.0,0.75,1,2417028,having a relatively high resistance to flow ,0.0
9832,a,systematic,,0.0,0.5,0.5,0,2382934,"characterized by order and planning; ""the investigation was very systematic""; ""a systematic administrator"" ",-0.5
9833,a,tacit,,0.5,0.0,0.5,0,942163,"implied by or inferred from actions or statements; ""gave silent consent""; ""a tacit agreement""; ""the understood provisos of a custody agreement"" ",0.0
9834,a,taciturn,,0.0,0.125,0.875,0,2383380,habitually reserved and uncommunicative ,-0.125
9835,a,tacky,,0.0,0.5,0.5,1,2393791,"tastelessly showy; ""a flash car""; ""a flashy ring""; ""garish colors""; ""a gaudy costume""; ""loud sport shirts""; ""a meretricious yet stylish book""; ""tawdry ornaments"" ",-0.5
9837,a,tactful,,0.5,0.0,0.5,1,759169,"showing skill and sensitivity in dealing with people; ""by diplomatic conduct he avoided antagonizing anyone""; ""a tactful way of correcting someone""; ""the agency got the kid-glove treatment on Capitol Hill"" ",0.0
9839,a,tactile,,0.0,0.375,0.625,1,2391683,"producing a sensation of touch; ""tactile qualities""; ""the tactual luxury of stroking silky human hair"" ",-0.375
9840,a,tactual,,0.0,0.375,0.625,1,2391683,"producing a sensation of touch; ""tactile qualities""; ""the tactual luxury of stroking silky human hair"" ",-0.375
9841,a,tailless,,0.0,0.625,0.375,0,320985,"not having a tail; ""anurous toads and frogs"" ",-0.625
9842,a,taillike,,0.0,0.25,0.75,0,319965,resembling a tail ,-0.25
9843,a,tainted,,0.0,0.5,0.5,0,1070716,"touched by rot or decay; ""tainted bacon""; ""`corrupt' is archaic"" ",-0.5
9844,a,taken,,0.25,0.0,0.75,0,1378671,"understood in a certain way; made sense of; ""a word taken literally""; ""a smile taken as consent""; ""an open door interpreted as an invitation"" ",0.0
9845,a,taken_with,,0.75,0.0,0.25,0,1465668,"marked by foolish or unreasoning fondness; ""gaga over the rock group's new album""; ""he was infatuated with her"" ",0.0
9846,a,taking,,0.625,0.0,0.375,0,167829,"very attractive; capturing interest; ""a fetching new hairstyle""; ""something inexpressibly taking in his manner""; ""a winning personality"" ",0.0
9847,a,talented,talentoso,0.5,0.0,0.5,0,1119192,"endowed with talent or talents; ""a gifted writer"" ",0.0
9848,a,talentless,,0.375,0.0,0.625,0,1119305,devoid of talent; not gifted ,0.0
9849,a,talismanic,,0.125,0.0,0.875,0,1577327,"possessing or believed to possess magic power especially protective power; ""a talismanic amulet"" ",0.0
9850,a,talkative,,0.0,0.375,0.625,1,773299,unwisely talking too much ,-0.375
9851,a,tall,,0.5,0.0,0.5,0,2385102,"great in vertical dimension; high in stature; ""tall people""; ""tall buildings""; ""tall trees""; ""tall ships"" ",0.0
9852,a,tall-growing,,0.0,0.125,0.875,0,2386002,(of plants) having tall spindly stems ,-0.125
9853,a,tallish,,0.125,0.0,0.875,0,2386545,somewhat tall ,0.0
9854,a,taloned,,0.0,0.25,0.75,0,145883,(of predatory animals) armed with claws or talons ,-0.25
9855,a,tamable,,0.625,0.0,0.375,0,2451828,capable of being tamed ,0.0
9856,a,tame,,0.625,0.0,0.375,3,2328916,"very docile; ""tame obedience""; ""meek as a mouse""- Langston Hughes ",0.0
9857,a,tameable,,0.625,0.0,0.375,0,2451828,capable of being tamed ,0.0
9858,a,tamed,,0.5,0.0,0.5,1,2389099,"brought from wildness; ""the once inhospitable landscape is now tamed"" ",0.0
9859,a,tangible,tangible,0.5,0.0,0.5,0,2391455,"perceptible by the senses especially the sense of touch; ""skin with a tangible roughness"" ",0.0
9861,a,tangy,,0.0,0.25,0.75,0,2369460,tasting sour like a lemon ,-0.25
9862,a,tannic,tánico,0.0,0.25,0.75,0,3122923,derived from tannin ,-0.25
9863,a,tannish,,0.0,0.125,0.875,0,384615,of a color resembling tan ,-0.125
9864,a,tansy-scented,,0.0,0.25,0.75,0,1057447,smelling of tansy ,-0.25
9865,a,tansy-smelling,,0.0,0.25,0.75,0,1057447,smelling of tansy ,-0.25
9866,a,tantalising,,0.25,0.0,0.75,0,1358846,"arousing desire or expectation for something unattainable or mockingly out of reach; ""a tantalizing taste of success"" ",0.0
9868,a,tantalizing,,0.25,0.0,0.75,0,1358846,"arousing desire or expectation for something unattainable or mockingly out of reach; ""a tantalizing taste of success"" ",0.0
9870,a,tantamount,,0.125,0.0,0.875,0,890351,"being essentially equal to something; ""it was as good as gold""; ""a wish that was equivalent to a command""; ""his statement was tantamount to an admission of guilt"" ",0.0
9871,a,tapered,,0.25,0.0,0.75,0,2562909,"becoming gradually narrower; ""long tapering fingers""; ""trousers with tapered legs"" ",0.0
9872,a,tapering,,0.25,0.0,0.75,0,2562909,"becoming gradually narrower; ""long tapering fingers""; ""trousers with tapered legs"" ",0.0
9873,a,tapestried,,0.0,0.125,0.875,0,59965,hung or decorated with tapestry ,-0.125
9874,a,tardive,,0.375,0.0,0.625,0,819709,"late-occurring (especially with reference to symptoms of a disease); ""tardive dyskinesia"" ",0.0
9875,a,tarred-and-feathered,,0.0,0.5,0.5,0,1902003,"smeared with tar and covered with feathers as a punishment; ""the poor tarred-and-feathered wretch"" ",-0.5
9876,a,tart,,0.0,0.25,0.75,0,2369460,tasting sour like a lemon ,-0.25
9878,a,tasseled,,0.0,0.125,0.875,0,60053,fringed or adorned with tassels ,-0.125
9879,a,tasselled,,0.0,0.125,0.875,0,60053,fringed or adorned with tassels ,-0.125
9880,a,tasteful,,0.625,0.0,0.375,0,2392878,having or showing or conforming to good taste ,0.0
9881,a,tatterdemalion,,0.0,0.375,0.625,1,679717,"in deplorable condition; ""a street of bedraggled tenements""; ""a broken-down fence""; ""a ramshackle old pier""; ""a tumble-down shack"" ",-0.375
9883,a,tattered,,0.0,0.375,0.625,0,2583619,"worn to shreds; or wearing torn or ragged clothing; ""a man in a tattered shirt""; ""the tattered flag""; ""tied up in tattered brown paper""; ""a tattered barefoot boy""; ""a tatterdemalion prince"" ",-0.375
9885,a,tatty,,0.0,0.5,0.5,1,2393791,"tastelessly showy; ""a flash car""; ""a flashy ring""; ""garish colors""; ""a gaudy costume""; ""loud sport shirts""; ""a meretricious yet stylish book""; ""tawdry ornaments"" ",-0.5
